Eop_fJ,Rtheta_K_W,Rtheta_over_required_ratio,assumed_peak_ops_s,avg_deltaT_C,avg_junction_C,below_85C_hotspot,heat_flux_W_cm2,hotspot_deltaT_C,hotspot_factor,hotspot_junction_C,layers,max_safe_activity_fraction,max_safe_activity_percent,power_W,required_Rtheta_K_W_for_85C,scenario
0.2,0.196,1.0910666666666666,1.67e+18,65.464,90.464,NO,13.36,65.464,1.0,90.464,1,0.9165342783820115,91.65342783820115,334.0,0.17964071856287425,aspirational ExaOPS thermal stress model
0.2,0.196,2.1821333333333333,1.67e+18,65.464,90.464,NO,13.36,130.928,2.0,155.928,1,0.45826713919100576,45.82671391910058,334.0,0.08982035928143713,aspirational ExaOPS thermal stress model
0.2,0.196,3.2732,1.67e+18,65.464,90.464,NO,13.36,196.392,3.0,221.392,1,0.30551142612733717,30.551142612733717,334.0,0.059880239520958084,aspirational ExaOPS thermal stress model
1.0,0.196,5.455333333333335,1.67e+18,327.32000000000005,352.32000000000005,NO,66.80000000000001,327.32000000000005,1.0,352.32000000000005,1,0.18330685567640226,18.330685567640227,1670.0000000000002,0.03592814371257484,aspirational ExaOPS thermal stress model
1.0,0.196,10.91066666666667,1.67e+18,327.32000000000005,352.32000000000005,NO,66.80000000000001,654.6400000000001,2.0,679.6400000000001,1,0.09165342783820113,9.165342783820114,1670.0000000000002,0.01796407185628742,aspirational ExaOPS thermal stress model
1.0,0.196,16.366000000000003,1.67e+18,327.32000000000005,352.32000000000005,NO,66.80000000000001,981.9600000000002,3.0,1006.9600000000002,1,0.06110228522546742,6.110228522546742,1670.0000000000002,0.011976047904191614,aspirational ExaOPS thermal stress model
10.0,0.196,54.553333333333335,1.67e+18,3273.2000000000003,3298.2000000000003,NO,668.0,3273.2000000000003,1.0,3298.2000000000003,1,0.01833068556764023,1.833068556764023,16700.0,0.003592814371257485,aspirational ExaOPS thermal stress model
10.0,0.196,109.10666666666667,1.67e+18,3273.2000000000003,3298.2000000000003,NO,668.0,6546.400000000001,2.0,6571.400000000001,1,0.009165342783820115,0.9165342783820115,16700.0,0.0017964071856287425,aspirational ExaOPS thermal stress model
10.0,0.196,163.66,1.67e+18,3273.2000000000003,3298.2000000000003,NO,668.0,9819.6,3.0,9844.6,1,0.006110228522546743,0.6110228522546743,16700.0,0.0011976047904191617,aspirational ExaOPS thermal stress model
100.0,0.196,545.5333333333334,1.67e+18,32732.0,32757.0,NO,6680.0,32732.0,1.0,32757.0,1,0.0018330685567640229,0.18330685567640229,167000.0,0.0003592814371257485,aspirational ExaOPS thermal stress model
100.0,0.196,1091.0666666666668,1.67e+18,32732.0,32757.0,NO,6680.0,65464.0,2.0,65489.0,1,0.0009165342783820114,0.09165342783820114,167000.0,0.00017964071856287425,aspirational ExaOPS thermal stress model
100.0,0.196,1636.6000000000001,1.67e+18,32732.0,32757.0,NO,6680.0,98196.0,3.0,98221.0,1,0.0006110228522546743,0.06110228522546743,167000.0,0.00011976047904191617,aspirational ExaOPS thermal stress model
0.2,0.22799999999999998,1.2691999999999999,1.67e+18,76.15199999999999,101.15199999999999,NO,13.36,76.15199999999999,1.0,101.15199999999999,3,0.7878978884336592,78.78978884336591,334.0,0.17964071856287425,aspirational ExaOPS thermal stress model
0.2,0.22799999999999998,2.5383999999999998,1.67e+18,76.15199999999999,101.15199999999999,NO,13.36,152.30399999999997,2.0,177.30399999999997,3,0.3939489442168296,39.394894421682956,334.0,0.08982035928143713,aspirational ExaOPS thermal stress model
0.2,0.22799999999999998,3.8076,1.67e+18,76.15199999999999,101.15199999999999,NO,13.36,228.45599999999996,3.0,253.45599999999996,3,0.2626326294778864,26.26326294778864,334.0,0.059880239520958084,aspirational ExaOPS thermal stress model
1.0,0.22799999999999998,6.346000000000001,1.67e+18,380.76,405.76,NO,66.80000000000001,380.76,1.0,405.76,3,0.1575795776867318,15.757957768673181,1670.0000000000002,0.03592814371257484,aspirational ExaOPS thermal stress model
1.0,0.22799999999999998,12.692000000000002,1.67e+18,380.76,405.76,NO,66.80000000000001,761.52,2.0,786.52,3,0.0787897888433659,7.878978884336591,1670.0000000000002,0.01796407185628742,aspirational ExaOPS thermal stress model
1.0,0.22799999999999998,19.038000000000004,1.67e+18,380.76,405.76,NO,66.80000000000001,1142.28,3.0,1167.28,3,0.05252652589557727,5.2526525895577265,1670.0000000000002,0.011976047904191614,aspirational ExaOPS thermal stress model
10.0,0.22799999999999998,63.459999999999994,1.67e+18,3807.5999999999995,3832.5999999999995,NO,668.0,3807.5999999999995,1.0,3832.5999999999995,3,0.015757957768673184,1.5757957768673183,16700.0,0.003592814371257485,aspirational ExaOPS thermal stress model
10.0,0.22799999999999998,126.91999999999999,1.67e+18,3807.5999999999995,3832.5999999999995,NO,668.0,7615.199999999999,2.0,7640.199999999999,3,0.007878978884336592,0.7878978884336592,16700.0,0.0017964071856287425,aspirational ExaOPS thermal stress model
10.0,0.22799999999999998,190.38,1.67e+18,3807.5999999999995,3832.5999999999995,NO,668.0,11422.8,3.0,11447.8,3,0.005252652589557727,0.5252652589557727,16700.0,0.0011976047904191617,aspirational ExaOPS thermal stress model
100.0,0.22799999999999998,634.5999999999999,1.67e+18,38076.0,38101.0,NO,6680.0,38076.0,1.0,38101.0,3,0.001575795776867318,0.15757957768673178,167000.0,0.0003592814371257485,aspirational ExaOPS thermal stress model
100.0,0.22799999999999998,1269.1999999999998,1.67e+18,38076.0,38101.0,NO,6680.0,76152.0,2.0,76177.0,3,0.000787897888433659,0.07878978884336589,167000.0,0.00017964071856287425,aspirational ExaOPS thermal stress model
100.0,0.22799999999999998,1903.8,1.67e+18,38076.0,38101.0,NO,6680.0,114228.0,3.0,114253.0,3,0.0005252652589557726,0.05252652589557726,167000.0,0.00011976047904191617,aspirational ExaOPS thermal stress model
0.2,0.38499999999999995,2.143166666666666,1.67e+18,128.58999999999997,153.58999999999997,NO,13.36,128.58999999999997,1.0,153.58999999999997,10,0.4665992689944787,46.65992689944787,334.0,0.17964071856287425,aspirational ExaOPS thermal stress model
0.2,0.38499999999999995,4.286333333333332,1.67e+18,128.58999999999997,153.58999999999997,NO,13.36,257.17999999999995,2.0,282.17999999999995,10,0.23329963449723934,23.329963449723934,334.0,0.08982035928143713,aspirational ExaOPS thermal stress model
0.2,0.38499999999999995,6.429499999999999,1.67e+18,128.58999999999997,153.58999999999997,NO,13.36,385.7699999999999,3.0,410.7699999999999,10,0.15553308966482624,15.553308966482623,334.0,0.059880239520958084,aspirational ExaOPS thermal stress model
1.0,0.38499999999999995,10.715833333333334,1.67e+18,642.95,667.95,NO,66.80000000000001,642.95,1.0,667.95,10,0.09331985379889571,9.33198537988957,1670.0000000000002,0.03592814371257484,aspirational ExaOPS thermal stress model
1.0,0.38499999999999995,21.43166666666667,1.67e+18,642.95,667.95,NO,66.80000000000001,1285.9,2.0,1310.9,10,0.046659926899447854,4.665992689944785,1670.0000000000002,0.01796407185628742,aspirational ExaOPS thermal stress model
1.0,0.38499999999999995,32.1475,1.67e+18,642.95,667.95,NO,66.80000000000001,1928.8500000000001,3.0,1953.8500000000001,10,0.031106617932965236,3.1106617932965235,1670.0000000000002,0.011976047904191614,aspirational ExaOPS thermal stress model
10.0,0.38499999999999995,107.15833333333332,1.67e+18,6429.499999999999,6454.499999999999,NO,668.0,6429.499999999999,1.0,6454.499999999999,10,0.009331985379889572,0.9331985379889572,16700.0,0.003592814371257485,aspirational ExaOPS thermal stress model
10.0,0.38499999999999995,214.31666666666663,1.67e+18,6429.499999999999,6454.499999999999,NO,668.0,12858.999999999998,2.0,12883.999999999998,10,0.004665992689944786,0.4665992689944786,16700.0,0.0017964071856287425,aspirational ExaOPS thermal stress model
10.0,0.38499999999999995,321.47499999999997,1.67e+18,6429.499999999999,6454.499999999999,NO,668.0,19288.499999999996,3.0,19313.499999999996,10,0.0031106617932965246,0.31106617932965247,16700.0,0.0011976047904191617,aspirational ExaOPS thermal stress model
100.0,0.38499999999999995,1071.5833333333333,1.67e+18,64294.99999999999,64319.99999999999,NO,6680.0,64294.99999999999,1.0,64319.99999999999,10,0.0009331985379889573,0.09331985379889574,167000.0,0.0003592814371257485,aspirational ExaOPS thermal stress model
100.0,0.38499999999999995,2143.1666666666665,1.67e+18,64294.99999999999,64319.99999999999,NO,6680.0,128589.99999999999,2.0,128614.99999999999,10,0.00046659926899447865,0.04665992689944787,167000.0,0.00017964071856287425,aspirational ExaOPS thermal stress model
100.0,0.38499999999999995,3214.7499999999995,1.67e+18,64294.99999999999,64319.99999999999,NO,6680.0,192884.99999999997,3.0,192909.99999999997,10,0.00031106617932965245,0.031106617932965246,167000.0,0.00011976047904191617,aspirational ExaOPS thermal stress model
0.2,1.22,6.791333333333333,1.67e+18,407.48,432.48,NO,13.36,407.48,1.0,432.48,50,0.14724649062530676,14.724649062530675,334.0,0.17964071856287425,aspirational ExaOPS thermal stress model
0.2,1.22,13.582666666666666,1.67e+18,407.48,432.48,NO,13.36,814.96,2.0,839.96,50,0.07362324531265338,7.362324531265338,334.0,0.08982035928143713,aspirational ExaOPS thermal stress model
